Random,Quicksort recursive - random,1000000,0.26
Ascending,Quicksort recursive - random,1000000,0.17
Constant,Quicksort recursive - random,1000000,0.18
V-shaped,Quicksort recursive - random,1000000,0.21
Random,Quicksort recursive - random,2000000,0.54
Ascending,Quicksort recursive - random,2000000,0.36
Constant,Quicksort recursive - random,2000000,0.37
V-shaped,Quicksort recursive - random,2000000,0.43
Random,Quicksort recursive - random,3000000,0.83
Ascending,Quicksort recursive - random,3000000,0.53
Constant,Quicksort recursive - random,3000000,0.57
V-shaped,Quicksort recursive - random,3000000,0.64
Random,Quicksort recursive - random,4000000,1.12
Ascending,Quicksort recursive - random,4000000,0.72
Constant,Quicksort recursive - random,4000000,0.78
V-shaped,Quicksort recursive - random,4000000,0.87
Random,Quicksort recursive - random,5000000,1.41
Ascending,Quicksort recursive - random,5000000,0.91
Constant,Quicksort recursive - random,5000000,0.99
V-shaped,Quicksort recursive - random,5000000,1.11
Random,Quicksort recursive - random,6000000,1.70
Ascending,Quicksort recursive - random,6000000,1.08
Constant,Quicksort recursive - random,6000000,1.20
V-shaped,Quicksort recursive - random,6000000,1.32
Random,Quicksort recursive - random,7000000,2.00
Ascending,Quicksort recursive - random,7000000,1.30
Constant,Quicksort recursive - random,7000000,1.42
V-shaped,Quicksort recursive - random,7000000,1.55
Random,Quicksort recursive - random,8000000,2.31
Ascending,Quicksort recursive - random,8000000,1.53
Constant,Quicksort recursive - random,8000000,1.63
V-shaped,Quicksort recursive - random,8000000,1.79
Random,Quicksort recursive - random,9000000,2.62
Ascending,Quicksort recursive - random,9000000,1.72
Constant,Quicksort recursive - random,9000000,1.81
V-shaped,Quicksort recursive - random,9000000,2.02
Random,Quicksort recursive - random,10000000,2.96
Ascending,Quicksort recursive - random,10000000,1.89
Constant,Quicksort recursive - random,10000000,2.01
V-shaped,Quicksort recursive - random,10000000,2.29
Random,Quicksort recursive - rightmost,1000000,0.24
Constant,Quicksort recursive - rightmost,1000000,0.16
V-shaped,Quicksort recursive - rightmost,1000000,0.45
Random,Quicksort recursive - rightmost,2000000,0.50
Constant,Quicksort recursive - rightmost,2000000,0.32
V-shaped,Quicksort recursive - rightmost,2000000,1.00
Random,Quicksort recursive - rightmost,3000000,0.75
Constant,Quicksort recursive - rightmost,3000000,0.49
V-shaped,Quicksort recursive - rightmost,3000000,1.65
Random,Quicksort recursive - rightmost,4000000,1.04
Constant,Quicksort recursive - rightmost,4000000,0.66
V-shaped,Quicksort recursive - rightmost,4000000,2.20
Random,Quicksort recursive - rightmost,5000000,1.31
Constant,Quicksort recursive - rightmost,5000000,0.83
V-shaped,Quicksort recursive - rightmost,5000000,2.88
Random,Quicksort recursive - rightmost,6000000,1.59
Constant,Quicksort recursive - rightmost,6000000,1.02
V-shaped,Quicksort recursive - rightmost,6000000,3.58
Random,Quicksort recursive - rightmost,7000000,1.86
Constant,Quicksort recursive - rightmost,7000000,1.19
V-shaped,Quicksort recursive - rightmost,7000000,4.19
Random,Quicksort recursive - rightmost,8000000,2.13
Constant,Quicksort recursive - rightmost,8000000,1.37
V-shaped,Quicksort recursive - rightmost,8000000,4.81
Random,Quicksort recursive - rightmost,9000000,2.45
Constant,Quicksort recursive - rightmost,9000000,1.56
V-shaped,Quicksort recursive - rightmost,9000000,5.58
Random,Quicksort recursive - rightmost,10000000,2.74
Constant,Quicksort recursive - rightmost,10000000,1.74
V-shaped,Quicksort recursive - rightmost,10000000,6.29
Ascending,Quicksort recursive - rightmost,10000,0.21
Ascending,Quicksort recursive - rightmost,20000,0.86
Ascending,Quicksort recursive - rightmost,30000,1.93
Ascending,Quicksort recursive - rightmost,40000,3.44
Ascending,Quicksort recursive - rightmost,50000,5.36
Ascending,Quicksort recursive - rightmost,60000,7.73
Ascending,Quicksort recursive - rightmost,70000,10.52
Ascending,Quicksort recursive - rightmost,80000,13.75
Ascending,Quicksort recursive - rightmost,90000,17.39
Ascending,Quicksort recursive - rightmost,100000,21.48
